region,suc,students2017,faculty2017,ratio2017,students2018,faculty2018,ratio2018
Ilocos Region,Don Mariano Marcos Memorial State University,15289,688,22.22,13320,499,26.69
Ilocos Region,Ilocos Sur Polytechnic State College,5659,235,24.08,4782,253,18.9
Ilocos Region,Mariano Marcos State University,10685,522,20.47,8247,552,14.94
Ilocos Region,North Luzon Philippines State College,2548,93,27.4,2147,102,21.05
Ilocos Region,Pangasinan State University,22077,757,29.16,18495,616,30.02
Ilocos Region,University of Northern Philippines,11100,519,21.39,9446,494,19.12
Cagayan Valley,Batanes State College,329,43,7.65,268,46,5.83
Cagayan Valley,Cagayan State University,37572,1300,28.9,25056,1050,23.86
Cagayan Valley,Isabela State University,29552,883,33.47,22371,871,25.68
Cagayan Valley,Nueva Vizcaya State University,9187,390,23.56,8135,388,20.97
Cagayan Valley,Quirino State University,3999,201,19.9,3626,212,17.1
Central Luzon,Aurora State College of Technology,1939,113,17.16,1682,103,16.33
Central Luzon,Bataan Peninsula State University,14661,496,29.56,12114,432,28.04
Central Luzon,Bulacan Agricultural State College,3495,142,24.61,2740,138,19.86
Central Luzon,Bulacan State University,48574,1119,43.41,34632,1227,28.22
Central Luzon,Central Luzon State University,10863,494,21.99,8698,491,17.71
Central Luzon,Don Honorio Ventura Technological State University,18866,403,46.81,14869,337,44.12
Central Luzon,Nueva Ecija University of Science and Technology,32901,482,68.26,20216,513,39.41
Central Luzon,Pampanga State Agricultural University,5534,210,26.35,4056,225,18.03
Central Luzon,Philippine Merchant Marine Academy,929,82,11.33,929,82,11.33
Central Luzon,Ramon Magsaysay Technological University,8508,423,20.11,7156,377,18.98
Central Luzon,Tarlac Agricultural University,4093,164,24.96,3019,156,19.35
Central Luzon,Tarlac State University,16755,415,40.37,13504,399,33.84
CALABARZON,Batangas State University,35150,896,39.23,27246,818,33.31
CALABARZON,Cavite State University,37265,1127,33.07,32693,1213,26.95
CALABARZON,Laguna State Polytechnic University,24970,811,30.79,21326,736,28.98
CALABARZON,Southern Luzon State University,14541,497,29.26,11465,416,27.56
CALABARZON,University of Rizal System,20612,688,29.96,15638,598,26.15
Bicol Region,Bicol State College of Applied Sciences and Technology,4924,172,28.63,4176,145,28.8
Bicol Region,Bicol University,21872,994,22.0,16277,706,23.06
Bicol Region,Camarines Norte State College,6178,234,26.4,5280,214,24.67
Bicol Region,Camarines Sur Polytechnic College,4335,190,22.82,3554,182,19.53
Bicol Region,Catanduanes State University,7619,309,24.66,5759,217,26.54
Bicol Region,Central Bicol State University of Agriculture,10314,426,24.21,9221,391,23.58
Bicol Region,Partido State University,7095,354,20.04,5853,328,17.84
Bicol Region,Sorsogon State College,7864,276,28.49,7201,268,26.87
Western Visayas,Aklan State University,8063,349,23.1,6165,317,19.45
Western Visayas,Capiz State University,12918,533,24.24,10628,554,19.18
Western Visayas,Guimaras State College,2980,175,17.03,2632,206,12.78
Western Visayas,Iloilo Science and Technology University,12836,485,26.47,10224,282,36.26
Western Visayas,Iloilo State College of Fisheries,4738,228,20.78,3946,191,20.66
Western Visayas,Northern Iloilo Polytechnic State College,9006,371,24.27,7135,349,20.44
Western Visayas,University of Antique,10389,407,25.53,9547,433,22.05
Western Visayas,West Visayas State University,17913,920,19.47,15587,771,20.22
Central Visayas,Bohol Island State University,15684,523,29.99,13784,507,27.19
Central Visayas,Cebu Normal University,9225,272,33.92,7165,238,30.11
Central Visayas,Cebu Technological University,38070,1389,27.41,35926,1298,27.68
Central Visayas,Siquijor State College,1999,56,35.7,1263,62,20.37
Eastern Visayas,Eastern Samar State University,13430,513,26.18,11989,524,22.88
Eastern Visayas,Eastern Visayas State University,18227,644,28.3,16369,647,25.3
Eastern Visayas,Leyte Normal University,6364,239,26.63,4937,290,17.02
Eastern Visayas,Naval State University,6949,322,21.58,6172,321,19.23
Eastern Visayas,Northwest Samar State University,8860,285,31.09,6378,193,33.05
Eastern Visayas,Palompon Institute of Technology,4278,209,20.47,3624,185,19.59
Eastern Visayas,Samar State University,7356,296,24.85,6071,284,21.38
Eastern Visayas,Southern Leyte State University,9513,352,27.03,8271,393,21.05
Eastern Visayas,University of Eastern Philippines,13465,552,24.39,12035,513,23.46
Eastern Visayas,Visayas State University,12526,555,22.57,10711,648,16.53
Zamboanga Peninsula,Basilan State College,4676,113,41.38,3769,113,33.35
Zamboanga Peninsula,Jose Rizal Memorial State University,13453,572,23.52,12226,540,22.64
Zamboanga Peninsula,Josefina H. Cerilles State College,13749,1076,12.78,11185,934,11.98
Zamboanga Peninsula,Western Mindanao State University,30093,1670,18.02,26664,1609,16.57
Zamboanga Peninsula,Zamboanga City State Polytechnic College,6031,260,23.2,5776,261,22.13
Zamboanga Peninsula,Zamboanga State College of Marine Sciences and Technology,3918,152,25.78,4454,149,29.89
Northern Mindanao,Bukidnon State University,17478,1057,16.54,11975,760,15.76
Northern Mindanao,Camiguin Polytechnic State College,2436,98,24.86,2053,88,23.33
Northern Mindanao,Central Mindanao University,9234,403,22.91,7480,406,18.42
Northern Mindanao,Northwestern Mindanao State College of Science and Technology,1387,86,16.13,1326,97,13.67
Davao Region,Compostela Valley State College,2971,84,35.37,4291,158,27.16
Davao Region,Davao del Norte State College,1518,79,19.22,1827,96,19.03
Davao Region,Davao Oriental State College of Science and Technology,11593,289,40.11,9143,289,31.64
Davao Region,University of Southeastern Philippines,16030,319,50.25,13154,285,46.15
Soccsksargen,Cotabato City State Polytechnic College,8700,141,61.7,7471,132,56.6
Soccsksargen,Cotabato Foundation College of Science and Technology,5664,185,30.62,5511,169,32.61
Soccsksargen,Sultan Kudarat State University,12355,388,31.84,11487,396,29.01
Soccsksargen,University of Southern Mindanao,14071,573,24.56,11508,536,21.47
National Capital Region,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",22011,491,44.83,22011,482,45.67
National Capital Region,Marikina Polytechnic College,5103,121,42.17,4867,72,67.6
National Capital Region,Philippine Normal University,7828,387,20.23,6544,392,16.69
National Capital Region,Philippine State College of Aeronautics,10677,366,29.17,9490,334,28.41
National Capital Region,Polytechnic University of the Philippines,66011,1996,33.07,53820,1961,27.45
National Capital Region,Rizal Technological University,24499,561,43.67,18550,561,33.07
National Capital Region,Technological University of the Philippines,19354,852,22.72,16454,773,21.29
National Capital Region,University of the Philippines,58765,3757,15.64,57403,3760,15.27
ARMM,Adiong Memorial Polytechnic State College,3142,35,89.77,3142,35,89.77
ARMM,Mindanao State University,33500,1616,20.73,31980,1649,19.39
ARMM,Mindanao State University-Tawi-Tawi College of Technology and Oceanography,3075,128,24.02,3075,128,24.02
ARMM,Sulu State College,5196,170,30.56,5196,170,30.56
ARMM,Tawi-Tawi Regional Agricultural College,3825,126,30.36,3825,126,30.36
Caraga,Agusan Del Sur State College of Agriculture and Technology,3938,116,33.95,3582,145,24.7
Caraga,Caraga State University,6646,310,21.44,5587,304,18.38
Caraga,Surigao Del Sur State University,10371,371,27.95,9483,290,32.7
Caraga,Surigao State College of Technology,10779,368,29.29,9632,320,30.1
MIMAROPA,Marinduque State College,5697,277,20.57,4703,280,16.8
MIMAROPA,Mindoro State College of Agriculture and Technology,8830,245,36.04,4731,222,21.31
MIMAROPA,Occidental Mindoro State College,8743,382,22.89,7044,339,20.78
MIMAROPA,Palawan State University,20943,872,24.02,16387,857,19.12
MIMAROPA,Romblon State University,8905,350,25.44,8167,353,23.14
MIMAROPA,Western Philippines University,7783,339,22.96,5393,271,19.9
